0.0 ,
0.002373421743855797
0.004474491546113457
0.00626954363030241
0.0077222010389801365
0.008793187373551614
0.009440126418983397
0.009617328909206524
0.009275565644565331
0.008361826125782956
0.006819061819367533
0.004585913116770701
0.0015964189941479745
-0.0022202916793170324
-0.0069403282985947
-0.012645387325571633
-0.019423122986806263
-0.027367541189544653
-0.03657941805697629
-0.04716674456612058
-0.05924519885886559
*********Modified Euler's Method***********
0.0 ,
0.00012342174385593374 ,
0.00024667904611375135 ,
0.0003694307396777674 ,
0.0004913011127110067 ,
0.0006118772635610448 ,
0.0007307062752306415 ,
0.0008472921979301162 ,
0.000961092827421961 ,
0.0010715162661263378 ,
0.0011779172532371263 ,
0.0012795932491513895 ,
0.0013757802587144319 ,
0.0014656483767301332 ,
0.0015482970383300376 ,
0.001622749955525471 ,
0.0016879497203849958 ,
0.001742752053849994 ,
0.0017859196781002673 ,
0.0018161157889844404 ,
0.0018318971035995446 ,
*********Rk Four ***********
0.0 ,
1.028552265580629e-08 ,
2.02905594548497e-08 ,
2.995931480676006e-08 ,
3.9230998227779423e-08 ,
4.80394843904719e-08 ,
5.6312899676669304e-08 ,
6.397321805629019e-08 ,
7.093582832240486e-08 ,
7.710904670332752e-08 ,
8.239362614403944e-08 ,
8.668221296304068e-08 ,
8.985878929834712e-08 ,
9.179804516534773e-08 ,
9.236476250507053e-08 ,
9.141309220694893e-08 ,
8.878584978333492e-08 ,
8.431372178208107e-08 ,
7.781443223109363e-08 ,
6.909186733849992e-08 ,
5.793513668805872e-08 ,
